gen	species	evals	std      	min     	avg     	max     
0  	0      	10   	0.0138346	0.22837 	0.243931	0.266686
1  	1      	10   	0.0179021	0.234287	0.258916	0.287489
2  	2      	10   	0.0126244	0.236383	0.256806	0.270572
3  	3      	10   	0.0124238	0.243609	0.267629	0.291807
4  	4      	10   	0.0115741	0.226551	0.253836	0.264667
5  	5      	10   	0.0184586	0.222813	0.252708	0.28033 
6  	6      	10   	0.0180685	0.231621	0.249952	0.275233
7  	7      	10   	0.0122821	0.240578	0.253957	0.276371
