gen	species	evals	std      	min     	avg     	max     
0  	0      	10   	0.0186656	0.225802	0.249454	0.288724
1  	1      	10   	0.0145417	0.233132	0.255987	0.274852
2  	2      	10   	0.0146234	0.230028	0.257216	0.277165
3  	3      	10   	0.0164106	0.242488	0.265616	0.282855
4  	4      	10   	0.0156154	0.223635	0.262477	0.274194
5  	5      	10   	0.0101583	0.235843	0.250351	0.265851
6  	6      	10   	0.0124812	0.24926 	0.263885	0.289725
7  	7      	10   	0.00614  	0.255078	0.26303 	0.271923
