gen	species	evals	std       	min     	avg     	max     
0  	0      	10   	0.0139733 	0.190604	0.218629	0.24144 
1  	1      	10   	0.0250467 	0.203849	0.239844	0.269687
2  	2      	10   	0.0158472 	0.212124	0.238081	0.263272
3  	3      	10   	0.00935329	0.208193	0.228919	0.241938
4  	4      	10   	0.0204191 	0.214268	0.239896	0.273874
5  	5      	10   	0.0158242 	0.220616	0.237341	0.265462
6  	6      	10   	0.0106839 	0.21492 	0.229787	0.249002
7  	7      	10   	0.0157159 	0.21474 	0.239892	0.25769 
